DEPTH,RHOB,DT,GR,FACIES
48.0,,524.0485,,1
48.15,,524.041,,1
48.3,,524.0336,,1
48.45,,524.0262,,1
48.6,,524.019,,1
48.75,,524.0117,,1
48.9,,524.0042,,1
49.05,,523.9968,,1
49.2,,523.9893,,1
49.35,,523.9819,,1
49.5,,523.9745,,1
49.65,,523.9673,,1
49.8,,523.96,,1
49.95,,523.9526,,1
50.1,,523.9451,3.0703,1
50.25,,523.9377,2.7441,1
50.4,,523.9304,2.6564,1
50.55,,523.9229,2.6521,1
50.7,,523.9157,2.032,1
50.85,,523.9084,1.7953,1
51.0,,523.9009,1.4786,1
51.15,,523.8935,1.3392,1
51.3,,523.886,1.3392,1
51.45,,523.8787,1.7285,1
51.6,,523.8712,2.9567,1
51.75,,523.864,4.0153,1
51.9,,523.8567,4.4301,1
52.05,,523.8492,4.7036,1
52.2,,523.8419,4.8807,1
52.35,,523.8344,5.109,1
52.5,,523.827,5.2881,1
52.65,,523.8196,5.3052,1
52.8,,523.8121,5.3052,1
52.95,,523.8049,5.4608,1
53.1,,523.7976,5.6249,1
53.25,,523.7902,5.31,1
53.4,,523.7828,4.4738,1
53.55,,523.7753,3.8929,1
53.7,,523.7679,3.8929,1
53.85,,523.7604,4.295,1
54.0,,523.7532,4.9152,1
54.15,,523.746,4.9152,1
54.3,,523.7385,4.9395,1
54.45,,523.7311,4.8545,1
54.6,,523.7236,4.5323,1
54.75,,523.7162,4.2718,1
54.9,,523.7089,3.9225,1
55.05,,523.7015,3.8972,1
55.2,,523.6943,3.6836,1
55.35,,523.6869,3.2261,1
55.5,,523.6795,3.1693,1
55.65,,523.6721,3.1693,1
55.8,,523.6646,3.1953,1
55.95,,523.6572,3.31,1
56.1,,523.6498,3.4477,1
56.25,,523.6427,4.3455,1
56.4,,523.6353,5.5534,1
56.55,,523.6279,6.1277,1
56.7,,523.6204,6.1491,1
56.85,,523.6129,6.3564,1
57.0,,523.6055,6.1211,1
57.15,,523.5981,5.9949,1
57.3,,523.5911,5.7919,1
57.45,,523.5836,5.7115,1
57.6,,523.5761,5.5694,1
57.75,,523.5686,4.9633,1
57.9,,523.5612,4.9592,1
58.05,,523.5538,4.9592,1
58.2,,523.5463,5.2512,1
58.35,,523.5392,5.2676,1
58.5,,523.5319,5.2676,1
58.65,,523.5244,4.7424,1
58.8,,523.517,4.2328,1
58.95,,523.5095,3.7989,1
59.1,,523.5021,3.1139,1
59.25,,523.4947,3.0002,1
59.4,,523.4873,2.904,1
59.55,,523.4802,2.8819,1
59.7,,523.4727,3.0304,1
59.85,,523.4653,3.1464,1
60.0,,523.4579,3.3941,1
60.15,,523.4505,3.583,1
60.3,,523.4431,3.9703,1
60.45,,523.4356,4.247,1
60.6,,523.4285,4.6752,1
60.75,,523.4211,4.8436,1
60.9,,523.4137,4.8436,1
61.05,,523.4062,5.3656,1
61.2,,523.3988,5.6592,1
61.35,,523.3914,5.6592,1
61.5,,523.384,4.8371,1
61.65,,523.3768,4.2736,1
61.8,,523.3695,4.2736,1
61.95,,523.362,4.7067,1
62.1,,523.3546,5.0658,1
62.25,,523.3472,5.0658,1
62.4,,523.3398,4.4277,1
62.55,,523.3323,3.7723,1
62.7,,523.325,3.7723,1
62.85,,523.3178,4.0717,1
63.0,,523.3104,4.964,1
63.15,,523.303,5.6458,1
63.3,,523.2955,5.6458,1
63.45,,523.2881,5.509,1
63.6,,523.2808,5.292,1
63.75,,523.2734,5.292,1
63.9,,523.266,5.3446,1
64.05,,523.2587,5.4499,1
64.2,,523.2513,5.4499,1
64.35,,523.2438,5.3796,1
64.5,,523.2364,5.2047,1
64.65,,523.2291,5.2047,1
64.8,,523.2217,5.3314,1
64.95,,523.2145,5.7632,1
65.1,,523.2071,5.8674,1
65.25,,523.1996,5.9982,1
65.4,,523.1923,6.5667,1
65.55,,523.1848,6.6535,1
65.7,,523.1774,6.4195,1
65.85,,523.17,5.6942,1
66.0,,523.1628,5.5358,1
66.15,,523.1555,4.2013,1
66.3,,523.148,3.2802,1
66.45,,523.1406,3.2297,1
66.6,,523.1331,2.7027,1
66.75,,523.1257,3.1111,1
66.9,,523.1183,3.1111,1
67.05,,523.1109,3.1111,1
67.2,,523.1037,3.8857,1
67.35,,523.0962,4.5569,1
67.5,,523.0888,4.566,1
67.65,,523.0814,4.5897,1
67.8,,523.074,4.8479,1
67.95,,523.0665,4.59,1
68.1,,523.0591,4.2151,1
68.25,,523.052,4.179,1
68.4,,523.0446,3.7766,1
68.55,,523.0372,3.7182,1
68.7,,523.0298,3.6827,1
68.85,,523.0223,3.7109,1
69.0,,523.015,3.8176,1
69.15,,523.0075,4.0186,1
69.3,,523.0004,4.0648,1
69.45,,522.993,4.6305,1
69.6,,522.9855,4.8091,1
69.75,,522.9781,4.8091,1
69.9,,522.9707,4.8091,1
70.05,,522.9633,5.0374,1
70.2,,522.9561,4.9406,1
70.35,,522.9487,4.8476,1
70.5,,522.9413,5.5882,1
70.65,,522.9339,6.1553,1
70.8,,522.9265,7.2707,1
70.95,,522.919,7.9146,1
71.1,,522.9116,7.9146,1
71.25,,522.9042,7.6857,1
71.4,,522.8967,7.2571,1
71.55,,522.8895,5.9009,1
71.7,,522.8823,4.8933,1
71.85,,522.8748,4.8933,1
72.0,,522.8674,5.0237,1
72.15,,522.8599,5.3642,1
72.3,,522.8525,5.59,1
72.45,,522.8453,5.4013,1
72.6,,522.838,4.9627,1
72.75,,522.8306,4.6959,1
72.9,,522.8231,4.6959,1
73.05,,522.8157,4.8218,1
73.2,,522.8083,5.0332,1
73.35,,522.8008,5.0332,1
73.5,,522.7936,4.9839,1
73.65,,522.7863,4.8822,1
73.8,,522.779,4.8822,1
73.95,,522.7715,5.0082,1
74.1,,522.764,5.4322,1
74.25,,522.7567,5.7428,1
74.4,,522.7492,5.8566,1
74.55,,522.7419,5.8832,1
74.7,,522.7347,5.9675,1
74.85,,522.7272,6.1767,1
75.0,,522.7198,6.1784,1
75.15,,522.7125,6.1784,1
75.3,,522.705,6.0803,1
75.45,,522.6976,5.4382,1
75.6,,522.6901,5.373,1
75.75,,522.6828,5.1093,1
75.9,,522.6757,5.131,1
76.05,,522.6682,5.4168,1
76.2,,522.6608,5.646,1
76.35,,522.6533,5.8992,1
76.5,,522.6459,5.8974,1
76.65,,522.6384,5.6354,1
76.8,,522.6309,5.8974,1
76.95,,522.6238,5.8992,1
77.1,,522.6165,6.6296,1
77.25,,522.609,6.8775,1
77.4,,522.6016,6.9093,1
77.55,,522.5942,6.9108,1
77.7,,522.5867,6.6867,1
77.85,,522.5796,6.4773,1
78.0,,522.5719,6.4524,1
78.15,,522.5648,6.4524,1
78.3,,522.5574,6.595,1
